name,type,uk_terminology,nphases,nphases_initial,cross_section_mm2,r1,x1,r0,x0,c1,c0,units,r/x ratio,ampacity_a
2c_.007,Overhead,Service Wire,3,1,7,3.97,0.099,3.97,0.099,0,0,km,40.1010101,56
2c_.0225,Overhead,Service Wire,3,1,22.5,1.257,0.085,1.257,0.085,0,0,km,14.78823529,98
2c_16,Cable,LV Cable,3,1,16,1.15,0.088,1.2,0.088,0,0,km,13.06818182,98
35_SAC_XSC,Cable,Serice Cable,3,1,35,0.868,0.092,0.76,0.092,0,0,km,9.434782609,128
4c_.06,Overhead,Service Wire,3,3,60,0.469,0.075,1.581,0.091,0,0,km,6.253333333,210
4c_.1,Overhead,LV Wire,3,3,100,0.274,0.073,0.959,0.079,0,0,km,3.753424658,270
4c_.35,Overhead,LV Wire,3,3,350,0.089,0.0675,0.319,0.076,0,0,km,1.318518519,497
4c_185,Cable,LV Cable,3,3,185,0.166,0.068,0.58,0.078,0,0,km,2.441176471,348
4c_70,Cable,LV Cable,3,3,70,0.446,0.071,1.505,0.083,0,0,km,6.281690141,210
4c_95_SAC_XC,Cable,LV Cable,3,3,95,0.322,0.074,0.804,0.093,0,0,km,4.351351351,233
2c_25,Cable,LV Cable,3,,25,0.727,0.092,,,0,0,km,7.902173913,116
4c_.07,Overhead,Service Wire,3,,70,0.3884,0.075,,,0,0,km,5.178666667,219
4c_.075,Overhead,Service Wire,3,,75,0.3645,0.075,,,0,0,km,4.86,227
4c_.08,Overhead,Service Wire,3,,80,0.3405,0.074,,,0,0,km,4.601351351,238
4c_.09,Overhead,Service Wire,3,,90,0.2994,0.074,,,0,0,km,4.045945946,256
4c_.125,Overhead,LV Wire,3,,125,0.2169,0.072,,,0,0,km,3.0125,308
4c_.15,Overhead,LV Wire,3,,150,0.1814,0.072,,,0,0,km,2.519444444,342
4c_.175,Overhead,LV Wire,3,,175,0.1547,0.071,,,0,0,km,2.178873239,380
4c_.351,Overhead,LV Wire,3,,350,0.077,0.0675,,,0,0,km,1.140740741,572
4c_240,Cable,LV Cable,3,,240,0.125,0.074,,,0,0,km,1.689189189,400
4c_300,Cable,LV Cable,3,,300,0.1,0.081,,,0,0,km,1.234567901,463
