bus,id,pv_size,profile_name,load_meter_id,load_code,load_yearly_avg_MWh,initial_generation_kW,integration_year
11,1,24,pv_24kWp.csv,1002,1,3.635515,0,8
21,2,10,pv_10kWp.csv,1031,3,12.35513,0,4
24,3,24,pv_24kWp.csv,1067,1,7.194295,0,1
25,4,24,pv_24kWp.csv,1013,1,4.184011,0,7
37,5,24,pv_24kWp.csv,1082,1,7.299919,0,6
45,6,10,pv_10kWp.csv,1014,1,10.221799,0,2
50,7,24,pv_24kWp.csv,1109,1,19.069047,0,10
57,8,24,pv_24kWp.csv,1119,1,13.147813,0,4
60,9,24,pv_24kWp.csv,1039,1,13.149817,0,6
64,10,10,pv_10kWp.csv,1071,1,4.009867,0,10
73,11,10,pv_10kWp.csv,1133,1,4.651629,0,3
77,12,10,pv_10kWp.csv,1139,1,14.78453,0,11
81,13,10,pv_10kWp.csv,1140,1,13.56364,0,5
88,14,10,pv_10kWp.csv,1093,1,3.87585,0,7
95,15,10,pv_10kWp.csv,1147,1,10.547089,0,9
96,16,10,pv_10kWp.csv,1148,1,6.663882,0,10
97,17,24,pv_24kWp.csv,1062,1,6.171485,0,2
101,18,24,pv_24kWp.csv,1153,1,6.63731,0,9
102,19,24,pv_24kWp.csv,1155,1,14.700532,0,9
103,20,24,pv_24kWp.csv,1061,1,6.608823,0,3
106,21,10,pv_10kWp.csv,1156,1,10.31847,0,11
110,22,10,pv_10kWp.csv,1157,1,12.201312,0,5
114,23,10,pv_10kWp.csv,1168,1,13.22477,0,8
115,24,24,pv_24kWp.csv,1005,1,11.189934,0,8
116,25,24,pv_24kWp.csv,1036,1,8.517661,0,11
