bus,load_meter_id,load_code,load_name,load_profile_name,load_daily_avg_kWh,load_yearly_avg_MWh,pv_size_kW,ev_max_ac_charging_kW,totalPV,totalPV10,totalPV24,totalEV,totalEV11,totalEV22
5,1015,1,L1,load_profile_11.csv,22.25127397,8.121715,,,25,12,13,17,9,8
7,1053,1,L2,load_profile_38.csv,28.9567589,10.569217,,11,,,,,,
10,1019,3,L3,load_profile_14.csv,28.40810411,10.368958,,,,,,,,
11,1002,1,L4,load_profile_3.csv,9.960315068,3.635515,24,,,,,,,
12,1058,1,L5,load_profile_43.csv,20.24973151,7.391152,,,,,,,,
13,1115,1,L6,load_profile_85.csv,12.86940822,4.697334,,,,,,,,
21,1031,3,L7,load_profile_23.csv,33.84967123,12.35513,10,,,,,,,
24,1067,1,L8,load_profile_51.csv,19.71039726,7.194295,24,,,,,,,
25,1013,1,L9,load_profile_9.csv,11.46304384,4.184011,24,,,,,,,
29,1057,1,L10,load_profile_42.csv,44.47378082,16.23293,,,,,,,,
30,1003,1,L11,load_profile_4.csv,29.85780822,10.8981,,,,,,,,
33,1074,1,L12,load_profile_56.csv,28.16126849,10.278863,,11,,,,,,
34,1077,1,L13,load_profile_59.csv,14.94789863,5.455983,,,,,,,,
37,1082,1,L14,load_profile_62.csv,19.99977808,7.299919,24,,,,,,,
39,1042,1,L15,load_profile_31.csv,27.53248219,10.049356,,11,,,,,,
40,1052,1,L16,load_profile_37.csv,17.41868767,6.357821,,,,,,,,
42,1059,1,L17,load_profile_44.csv,41.52414247,15.156312,,11,,,,,,
45,1014,1,L18,load_profile_10.csv,28.00492877,10.221799,10,,,,,,,
46,1084,1,L19,load_profile_64.csv,11.73191781,4.28215,,,,,,,,
47,1085,1,L20,load_profile_65.csv,24.51028493,8.946254,,11,,,,,,
49,1108,1,L21,load_profile_81.csv,41.90835342,15.296549,,,,,,,,
50,1109,1,L22,load_profile_82.csv,52.24396438,19.069047,24,,,,,,,
52,1006,1,L23,load_profile_7.csv,21.86709863,7.981491,,22,,,,,,
54,1086,1,L24,load_profile_66.csv,6.118021918,2.233078,,11,,,,,,
57,1119,1,L25,load_profile_88.csv,36.02140548,13.147813,24,,,,,,,
60,1039,1,L26,load_profile_29.csv,36.02689589,13.149817,24,,,,,,,
62,1021,2,L27,load_profile_16.csv,13.74335616,5.016325,,22,,,,,,
64,1071,1,L28,load_profile_53.csv,10.98593699,4.009867,10,,,,,,,
66,1122,1,L29,load_profile_91.csv,19.26176438,7.030544,,22,,,,,,
67,1123,1,L30,load_profile_92.csv,17.165,6.265225,,22,,,,,,
72,1132,1,L31,load_profile_97.csv,22.96607123,8.382616,,,,,,,,
73,1133,1,L32,load_profile_98.csv,12.74418904,4.651629,10,,,,,,,
75,1024,1,L33,load_profile_18.csv,17.37020548,6.340125,,22,,,,,,
76,1136,1,L34,load_profile_99.csv,14.11649863,5.152522,,22,,,,,,
77,1139,1,L35,load_profile_101.csv,40.50556164,14.78453,10,22,,,,,,
80,1018,1,L36,load_profile_13.csv,45.98494795,16.784506,,11,,,,,,
81,1140,1,L37,load_profile_102.csv,37.16065753,13.56364,10,,,,,,,
83,1101,2,L38,load_profile_77.csv,2.857339726,1.042929,,22,,,,,,
87,1060,1,L39,load_profile_45.csv,15.85689863,5.787768,,,,,,,,
88,1093,1,L40,load_profile_71.csv,10.61876712,3.87585,10,,,,,,,
93,1143,1,L41,load_profile_105.csv,41.81629041,15.262946,,,,,,,,
95,1147,1,L42,load_profile_108.csv,28.89613425,10.547089,10,,,,,,,
96,1148,1,L43,load_profile_109.csv,18.25721096,6.663882,10,,,,,,,
97,1062,1,L44,load_profile_47.csv,16.90817808,6.171485,24,11,,,,,,
101,1153,1,L45,load_profile_110.csv,18.18441096,6.63731,24,,,,,,,
102,1155,1,L46,load_profile_112.csv,40.27543014,14.700532,24,,,,,,,
103,1061,1,L47,load_profile_46.csv,18.10636438,6.608823,24,,,,,,,
106,1156,1,L48,load_profile_113.csv,28.26978082,10.31847,10,,,,,,,
107,1032,3,L49,load_profile_24.csv,19.47550685,7.10856,,,,,,,,
110,1157,1,L50,load_profile_114.csv,33.42825205,12.201312,10,,,,,,,
112,1160,1,L51,load_profile_115.csv,37.36858082,13.639532,,11,,,,,,
113,1054,1,L52,load_profile_39.csv,6.118021918,2.233078,,,,,,,,
114,1168,1,L53,load_profile_120.csv,36.23224658,13.22477,10,,,,,,,
115,1005,1,L54,load_profile_6.csv,30.65735342,11.189934,24,,,,,,,
116,1036,1,L55,load_profile_27.csv,23.33605753,8.517661,24,,,,,,,
